,site_id,load_curve
0,08ff275a-aaf6-bda6-7df1-2730c9ab29b7,"[ 91.97530904  75.61185734  65.65334187  55.72130522  50.33553273
  49.03386804  48.46865274  48.19950611  48.04369475  48.86046706
  59.41675053  77.48476197 109.08305693 144.25026357 169.97488955
 177.99528009 176.79296433 172.20572611 171.59080351 161.9334046
 139.88733199 119.44223488 113.33743026 109.49959357]"
0,09473fb0-9258-71fa-827b-fabb32404ca6,"[84.74544865 83.47974979 60.96430237 34.22983139 21.65781552 19.2287298
 19.05640634 19.16501109 20.43052071 30.20343911 35.06469081 61.90144643
 63.083023   74.86186439 74.8948056  75.44341305 76.4800328  77.30793371
 78.16039233 78.82642123 79.18700524 79.57803616 81.98063302 85.54710467]"
0,0bebeb97-fddb-c886-3899-5d221e89b86a,"[432.63393423 422.12075065 413.32881356 373.47014426 340.3759546
 335.14568523 340.68247336 336.64155986 345.90881888 352.09707364
 364.29686618 410.14519909 440.78811422 459.46007424 465.27339021
 473.38854144 481.09378805 485.18109694 489.84029418 487.39371187
 477.25612372 468.43012367 455.14101411 441.3693186 ]"
0,0ccddb37-1953-7ef2-5020-85f57887fee4,"[16.16469912 16.85279552 16.20815196 15.90271529 14.2488779  13.92586802
 13.8725164  13.79612782 13.7586996  13.82058749 13.83859024 14.24395314
 18.36160405 19.72176948 19.51722756 19.78332904 18.91963467 18.8014403
 18.67804757 17.94387452 16.37323009 15.69984506 15.51874503 15.49173269]"
0,0e2a25a4-9b96-ac1c-d17d-a4228c6682fb,"[1.54965945 1.57855141 1.59409178 1.55950898 1.52120525 1.46736115
 1.43956359 1.3215881  1.21991906 1.16552777 1.15961805 1.14670422
 1.26664961 1.40782621 1.44131462 1.47217648 1.50522713 1.49581535
 1.51026133 1.53182086 1.57636262 1.54856506 1.54593852 1.55797683]"
0,0e5f3c13-b90f-b044-dfb9-b5192754f78a,"[71.89434908 68.05894193 64.74227672 61.8041618  43.63932948 29.59915218
 24.43143189 22.00680582 21.28483524 20.89873365 20.56319298 20.12029242
 20.94305653 24.53255373 30.90519992 41.44025765 54.53258181 64.95633985
 68.61445545 70.88148903 72.5874277  73.64067082 73.66890614 72.80969877]"
0,10f6790a-b3a4-180e-dd3f-2b3e73d5e622,"[54.39509878 59.51190247 54.81463405 48.51252145 47.59722648 47.38964763
 47.31692526 47.33159012 47.70827993 47.18496891 41.82419782 38.57456414
 36.58383724 35.16919843 34.95803545 33.88383471 33.24405299 32.04364147
 31.96700666 32.52432592 32.6348869  35.91447957 43.73043764 50.99731174]"
0,110f08a4-548f-da24-8fd7-c6883eac9850,"[ 1.60467318  1.45727907  1.46132148  1.4576279   1.45399589  1.44798357
  1.4468755   1.44537755  1.44277153  1.44094526  1.7616706   6.74922656
 11.34645385 11.12783531 11.02382016 11.20636479 10.87759568 10.73405929
 10.17304645  9.3567461   8.22376282  6.16976637  2.97189061  1.82809337]"
0,11a7bb84-7601-0161-9588-b9b5020518e5,"[1122.00699605 1068.2056142  1028.17039206  924.5105413   813.25199671
  753.28126663  725.64779253  723.55126526  770.52334752  844.43697801
  986.31647237 1113.27857931 1178.69020458 1232.09797002 1260.67021745
 1273.39156087 1287.15166494 1306.02858183 1322.76291577 1309.73525196
 1276.94352041 1242.85781593 1203.72006841 1166.66090012]"
0,11ba23cb-dfd8-bf06-3ab1-7ac4ad6f1d5c,"[176.52512094 173.68918623 171.55633472 123.12959104 102.46883049
  84.67134439  84.29115981  87.50173486  88.8757895   92.27699104
  87.6420624  127.61951727 147.86481004 150.96569073 150.90380285
 152.49093521 154.64472724 156.3867544  157.8393522  158.52969394
 158.75497253 159.20218909 164.07570733 170.57437506]"
0,11ed171c-0221-da46-0fe7-67ef91fe520b,"[45.50975531 44.21290047 41.71932768 35.67828236 30.5614513  29.63231227
 29.05447315 29.93272295 30.39565088 30.23477521 31.70563842 34.44873264
 39.16665772 42.47609994 44.00441874 45.58526837 46.57350459 47.67172723
 48.40551725 48.90291854 48.89799377 48.30373877 47.84409402 46.8410835 ]"
0,12e61d30-25f9-16f9-7cfc-c9221a766def,"[1.78955024 1.69718353 1.68448858 1.73045306 1.62057607 1.54265534
 1.4546662  1.09089021 1.0646248  0.9092211  0.87507606 0.85362597
 1.00508986 1.39338024 1.45028863 1.44722434 1.47611629 1.54134207
 1.57811365 1.61838729 1.71338054 1.70287437 1.67879774 1.74489903]"
