,site_id,seasonality
0,a31524b6-60b5-5928-887b-263b5cb59c23,1
0,fa27bfb9-9b3e-ace1-bb88-5b95e56f16ba,1
0,22cb331d-848f-b8ad-53da-cf16fd4dc49a,1
0,dd0ec801-5e9b-837c-4289-ed168ca81a4f,1
0,a1dc9b8e-1806-5e10-3b1d-d7db9c3da156,1
0,7e03e2ca-18ed-5eb8-15d9-d56ad7d89634,0
0,12e61d30-25f9-16f9-7cfc-c9221a766def,1
0,fe6451c9-63c7-b774-496c-9ce8ba6d01af,1
0,92b339d1-29c0-d718-8f9e-f38fddb9ed36,1
0,ac00b847-21c9-f9d2-2c28-9e28b8a33bf5,1
0,16dadab9-bfbb-e945-67ce-6356777c0d48,1
0,853e8d46-b872-348a-7bd8-70f5165b3afa,1
0,1a0cadec-1d86-8a5b-4530-e162456163e2,1
0,253a7559-7ebb-1c96-609a-df5c5798aabc,1
0,529c6f3e-e942-8be0-cd08-b86ffa210e39,1
0,dc4820b0-76dc-93b1-2f7a-9fa2c5d5c6a8,1
0,697f6a9a-ee82-6061-2027-071e657e0e21,1
0,64d71a56-74d5-f7c0-4977-1a90d44b3f1e,1
0,9acc0d29-71e3-007f-0417-e051f2ab4ae6,1
0,8947e567-4ae2-7228-69a4-2a7b8b90e679,1
0,678558e3-3fd0-d054-e17f-f0defcb52c12,1
0,2dfc25b7-004e-72e8-b4b1-852d2fd2242e,1
0,e1936d00-255f-5073-fe4a-c0db2543150e,1
0,3798bec0-bb4f-e581-d9e4-8741c99af207,1
0,d342df32-ed32-cb36-edd3-345e2feab911,1
0,9705b57a-ff74-2e7e-9f3a-a3a3e1153153,1
0,f8d4dfa0-e065-be62-96c0-02e7792268fd,1
0,77d8e15e-f938-9abc-285a-0fa8eab46953,1
0,cb1b1692-26f3-ec9b-9551-d949d309fa4c,1
0,6d170a51-75d7-e03a-6464-cf3784b0e5b9,1
0,3ec5215e-d1ec-ec60-ddd0-905fbbf03bb9,1
0,0e2a25a4-9b96-ac1c-d17d-a4228c6682fb,1
0,27dd4c7b-5795-4fb9-4d4c-a522697c75a3,1
0,c4fdaadd-0618-bb7d-830a-fbc7b15cb884,1
0,943cb502-9e81-3890-568d-1c378ef503de,1
0,c1cb8652-f39a-189e-25cf-7d6313a9b01f,1
0,f4f3d175-b8b7-3445-1b67-676bf56c5679,1
0,15de2373-6944-3d69-32bc-e8cd5d7cca3a,1
0,c24f74e9-aa99-2b51-7679-dd1b0ef5adc9,1
0,15739bd4-b7b4-6d3c-f948-859c6dc09bdc,1
0,8c0761fe-dba5-158c-e5be-bb8aa0f6d07a,1
0,fb4fbc9d-bef2-9755-cf57-e481f4cbc83c,1
0,478fe98a-0473-bebd-03cd-0d7ae3af595e,1
0,2f29f8bd-e419-5941-4d9b-1e45d72f84a0,1
0,dea23cf8-66c2-40ca-586d-6ba00361f1cd,1
0,55245d41-a763-7bbd-22d9-7eae53359846,1
0,d7de778a-833f-c75e-df25-dadcaea87332,1
0,feda0965-ac85-b46a-77fe-dc2ad48772fe,1
0,692d66d9-f8e7-5a6e-af7e-7983d9a6d0e1,1
0,204160be-4479-553f-01c9-a7ac934dde3e,1
0,6f245a0a-eff7-e9fe-bb95-8d0270a775cf,1
0,72b59214-5b0e-b47b-36e5-f6ede6a8d160,1
0,872ba917-1c97-07f5-b619-742a535d3f45,1
0,7beee54b-ea35-d1d2-c01f-1869a880773a,1
0,e849b316-0bd6-e691-4ebc-ce098ad8435d,1
0,eadfee31-e99a-f2af-0975-37d3e9b39af3,1
0,6f493bda-5d1e-6dac-2438-2f79d51b7c6e,1
0,2c3dd4f7-7ab3-a0e8-4485-0e295050abd5,1
0,0359f57d-5a06-40c6-3d83-4a0a7720eba1,1
0,ebe99dd0-da49-66b2-cd2e-e79dab5e45c5,1
