,site_id,missing_data
0,a8a44573-c3c1-c4d4-c0bb-03bb7ecddace,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,782480db-18b5-6727-b8c6-5a492b2153f8,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,44e37900-ae24-c5ec-b82c-c1ee16f051e6,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,8bc29311-3d00-1ec4-4632-9bf8c1db339e,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,318467ad-e593-a20a-fe23-daf9998cc991,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,fa1e6d9b-9562-02aa-0a4a-3f08fdf1c960,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,92ee232b-db76-9552-baee-7a276d7beda5,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,72429eca-0240-b236-1d1a-7f629bc2a9d9,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,27834896-8120-34d1-ffea-2b9006ef3ab2,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,09473fb0-9258-71fa-827b-fabb32404ca6,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,86402464-3ce0-1d98-53ba-bf4b418d3731,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,c478ba56-575c-c594-b016-7d3061bd9b3b,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,f81d7812-364c-67ba-2379-bd4b8a6a87ba,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00'], ['2018-03-11 06:00:00', '2018-03-11 08:00:00']]"
0,ca5faf79-28d7-e07e-1c86-18ab55da408e,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00'], ['2018-09-05 04:00:00', '2018-10-10 05:00:00']]"
0,8cc22eef-f6b8-8bb8-7a7d-e535f80d9a9f,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,eba417ce-b125-8595-6b56-11f89c2f09b8,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,383e571b-d2eb-4fc0-45d8-e9dea63dec87,[]
0,481f0202-e3f4-47e8-ce19-b84b5114407a,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,5ef5bf80-7c47-1b7a-78d8-6d8a195577f6,[]
0,a36090f0-0dcf-7323-5919-c2fe54cb7796,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,42767edd-b3e3-7376-0de3-78305466aa67,[]
0,3fdda635-72a0-16c5-900b-91e0d8cc02e0,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,732ff022-dfcd-f47b-1062-8506a97e4b65,[]
0,ead0f931-ace6-66a0-266d-4a1b27d96181,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,dc59faa0-5478-3c1a-9d24-e0c6eb7a6c4e,"[['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,b3419bd8-785d-6ca5-3326-7219ad96c641,[]
0,f642e2d0-64fb-a3a4-82a3-1e6c9374f0ae,[]
0,79ae3c7c-f1a1-90e7-c526-057e26a34eca,[]
0,dcfda865-19c7-db9d-79f7-62975d5e11d5,[]
0,11ba23cb-dfd8-bf06-3ab1-7ac4ad6f1d5c,[]
0,20091471-e961-3d8d-0cf7-b686dff662d4,[]
0,a4025fa5-e903-6079-7f04-38357974d0e0,[]
0,e4bf9a40-a95c-6488-cc12-9dfdeb781be6,[]
0,d787f244-dfa2-59b2-d1e2-c5156e632285,[]
0,b7386659-1010-f92c-4f4f-31b5b1f907c5,[]
0,fa918bd3-d0f3-0e2d-08c6-875ade30fe3e,[]
0,f2f57d71-344e-adda-6441-3b7d6620dd40,[]
0,aa951f4e-7e5c-f541-9424-702ae8f31e32,[]
0,03dde450-8366-1cb8-1632-f6c8135b8077,[]
0,35834753-fd0f-ebc7-ba6d-27c9c8de1656,[]
0,c966b497-d639-dadc-60b5-248687103a2d,[]
0,416a448a-266c-8622-bf29-ffb262f11dba,[]
0,d082397d-d743-fcf5-b536-762d9c7f4a35,"[['2016-11-06 05:00:00', '2016-11-06 07:00:00'], ['2017-11-05 05:00:00', '2017-11-05 07:00:00']]"
0,f68751c2-aae5-2ea4-7b25-7d915b03307d,[]
0,549c315b-6263-d161-8762-d46d1ed5ca34,[]
0,b056a935-10bd-e966-af9d-ec740b88aea9,[]
0,3bb491cc-4378-1845-cd31-41b0a3c10ad3,"[['2016-11-06 04:00:00', '2016-11-06 07:00:00'], ['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
0,c45693f3-d18d-5c96-246d-a669bb60f3f0,[]
0,a1894b34-4d99-e549-e68c-8615418bcca0,[]
0,110f08a4-548f-da24-8fd7-c6883eac9850,[]
0,529d499b-a34d-324e-6c04-947e7a257a56,"[['2016-11-06 04:00:00', '2016-11-06 07:00:00'], ['2017-11-05 04:00:00', '2017-11-05 07:00:00']]"
